rating,features,promo_price,currency,instock,current_price,sku,title,primary_image_url,price,description,ean,mpn,brand,promo_qty,image_urls,expiry,crawl_time,promo_data,retailer_sku_code,categories,url,upc,attributes,model
,,,SGD,In Stock Now,,280807,Samsung Galaxy Tab S2 8.0 SM-T715C ,,SG$584,,,,Samsung,,http://i2.expansys.com/img/b/280807/samsung-galaxy-tab-s2-80-sm-t715.jpg,,,,,,,,,
,,,SGD,In Stock Now,,274531,Motorola moto 360 Light Stainless Steel Case ,,SG$269,,,,Motorola,,http://i1.expansys.com/img/b/274531/motorola-moto-360-light-stainless-steel-case.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,251612,AT Screen Guard for Sony Xperia Z Ultra ,,SG$13,,,,AT,,http://i1.expansys.com/img/b/251612/at-screen-guard-for-sony-xperia-z-ultra.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,262285,LG Quick Circle Wireless Charging Folio Case - LG G3 ,,SG$84,,,,LG,,http://i2.expansys.com/img/b/262285/lg-quickcircle-cover-for-lg-g3.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,270592,Parrot Zik 2.0 Wireless Headphones ,,SG$558,,,,Parrot,,http://i1.expansys.com/img/b/270592/parrot-zik-20-wireless-headphones.jpg,,,,,,,,,
,,,SGD,In Stock Now,,270594,Parrot Zik 2.0 Wireless Headphones ,,SG$558,,,,Parrot,,http://i1.expansys.com/img/b/270594/parrot-zik-20-wireless-headphones.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,270591,Parrot Zik 2.0 Wireless Headphones ,,SG$558,,,,Parrot,,http://i1.expansys.com/img/b/270591/parrot-zik-20-wireless-headphones.jpg,,,,,,,,,
,,,SGD,In Stock Now,,265660,OtterBox Defender Case for Galaxy Tab 4 7.0 ,,SG$88,,,,OtterBox,,http://i1.expansys.com/img/b/265660/otterbox-defender-case-for-galaxy-tab-470.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,280810,Samsung Galaxy Tab S2 9.7 SM-T810 ,,SG$579,,,,Samsung,,http://i1.expansys.com/img/b/280810/samsung-galaxy-tab-s2-97-sm-t810.jpg,,,,,,,,,
,,,SGD,In Stock Now,,280811,Samsung Galaxy Tab S2 9.7 SM-T810 ,,SG$579,,,,Samsung,,http://i1.expansys.com/img/b/280811/samsung-galaxy-tab-s2-97-sm-t810.jpg,,,,,,,,,
,,,SGD,In Stock Now,,280813,Samsung Galaxy Tab S2 9.7 SM-T815C ,,SG$714,,,,Samsung,,http://i1.expansys.com/img/b/280813/samsung-galaxy-tab-s2-97-sm-t815.jpg,,,,,,,,,
,,,SGD,In Stock Now,,280833,"AT Screen Guard for Samsung Galaxy Tab S2 Wifi 9.7"" ",,SG$17,,,,AT,,http://i1.expansys.com/img/b/280833/at-screen-guard-for-samsung-galaxy-tabs2-wifi-97.jpg,,,,,,,,,
